Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C13, C4",0603,3,100n,
"C10, C9",0603,2,100nF,06036C104KAT4A
"C11, C8",0603,2,18pF,251R14S180JV4T
C12,0402,1,1nF,0402N102F500CT
"C14, C2, C3",0603,3,1u,
"C15, C16, C5",1206,3,10uF,
"C6, C7",0603,2,10uF,
"D1, D3, D4, D8, D9",0805,5,LED,0805RBD0070S01
"D10, D11",0603,2,LED,0805RBD0070S01
D2,SOT-323_SC-70,1,SM712_SOT23,ESDCAN03-2BWY
D5,SOT-23,1,BZX84B4V7LT1,BZX84B4V7LT1
"D6, D7",D_SMB,2,6.8V CA,
F2,1206,1,C1F 2,C1F 2
"J1, J13, J14, J15, J16, J2",PinHeader_1x02_P2.54mm_Vertical,6,Conn_01x02_Pin,
J10,USB_B_Lumberg_2411_02_Horizontal,1,USB_B,
"J11, J17, J21, J6",TerminalBlock_Altech_AK300-2_P5.00mm,4,VIN,
J12,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02_Pin,
"J18, J19",PinHeader_1x04_P2.54mm_Horizontal,2,Conn_01x04_Pin,
"J4, J5",JST_XH_S12B-XH-A-1_1x12_P2.50mm_Horizontal,2,Conn_01x12_Socket,
J7,618037231321,1,618037231321,
J8,PinHeader_1x18_P2.54mm_Vertical,1,Conn_01x18_Pin,
J9,PinHeader_1x19_P2.54mm_Vertical,1,Conn_01x19_Pin,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,SolderJumper_2_Open,
Q1,SOT-23,1,WST3325,NTR3A30PZT1G
"Q2, Q3",SOT-23,2,MMBT3904,
Q4,SOT-23,1,WST4041,
Q7,SOT-23,1,WST2303,
"R1, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R3, R31, R4, R42, R43, R44, R47, R48, R49, R5, R50, R51, R52, R55, R56, R57, R6, R64, R67, R68, R7, R8, R9",0603,35,0,
R10,0603,1,5k,
"R21, R22, R46, R60, R61, R63",0603,6,1K,
R23,0603,1,100k,
"R24, R25",0603,2,10k,RMCF0603FT10K0CT-ND
"R26, R27",0402,2,0,RMCF0402ZT0R00
"R28, R29",0603,2,2k8,RC0603FR-072K8L
"R30, R37, R40, R41",0603,4,DNP,
"R32, R33, R34, R58, R59",0603,5,10k,
"R35, R36",0603,2,4k7,
"R38, R39",1206,2,10,
"R45, R53, R54",0603,3,2k,
R62,0603,1,20K,
"R65, R66",0603,2,3K3,
U1,MODULE_ESP32_DEVKIT_V1,1,ESP32-DEVKIT-V1,
U10,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,MCP2562-E-MF,MCP2562-E-MF
U11,SOIC127P600X175-8N,1,MAX13487EESAT,
U2,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,TO-252-2,1,NCP1117DT50RKG,
"U5, U6",SOT-23-5,2,LMV331,
U9,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,MCP2515-I/ST
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,16MHz,ABM8-16.000MHZ-D1X-T
