Designator,Mid X,Mid Y,Rotation,Layer
C1,317.7,-122.24,90.0,top
C10,194.575,-104.34,180.0,top
C11,202.575,-98.34,90.0,top
C12,180.575,-108.94,270.0,top
C13,221.475,-70.075,90.0,top
C14,219.05,-71.69,270.0,top
C15,197.0,-175.805,180.0,top
C16,197.4375,-190.84,180.0,top
C2,314.2,-122.215,90.0,top
C3,300.6,-124.39,90.0,top
C4,306.8,-113.115,90.0,top
C5,252.75,-59.59,90.0,top
C6,238.05,-58.915,90.0,top
C7,237.5,-118.64,180.0,top
C8,199.575,-94.74,0.0,top
C9,204.1,-113.54,0.0,top
D1,253.05,-72.225,90.0,top
D10,217.3,-57.38,0.0,top
D11,217.25,-60.09,0.0,top
D2,187.175,-107.34,0.0,top
D3,296.1,-124.99,0.0,top
D4,296.1625,-119.59,0.0,top
D5,256.95,-59.99,270.0,top
D6,192.05,-68.69,270.0,top
D7,192.05,-59.69,90.0,top
D8,236.25,-69.2275,90.0,top
D9,295.8,-109.0025,270.0,top
F2,268.65,-60.19,180.0,top
J1,189.8,-176.665,0.0,top
J10,323.94,-114.39,0.0,top
J11,171.8,-104.54,270.0,top
J12,175.8,-96.48,180.0,top
J13,219.8,-90.815,0.0,top
J14,219.8,-97.94,0.0,top
J15,219.8,-107.94,0.0,top
J16,219.8,-118.84,180.0,top
J17,185.05,-59.69,180.0,top
J18,228.45,-194.9325,270.0,top
J19,214.6,-194.9325,270.0,top
J2,190.0375,-191.965,0.0,top
J21,172.05,-59.69,180.0,top
J4,173.4,-134.54,270.0,top
J5,173.4,-173.29,270.0,top
J6,332.3,-62.205,90.0,top
J7,321.38,-168.485,90.0,top
J8,276.96,-143.735,0.0,top
J9,234.46,-143.535,0.0,top
Q1,261.75,-60.19,0.0,top
Q2,222.35,-62.59,0.0,top
Q3,217.45,-67.09,180.0,top
Q4,258.5375,-197.99,0.0,top
Q7,265.025,-198.04,180.0,top
R1,273.475,-84.44,0.0,top
R10,253.05,-68.2025,90.0,top
R11,179.975,-175.43,0.0,top
R12,179.975,-177.94,0.0,top
R13,179.975,-180.45,0.0,top
R14,197.125,-171.94,0.0,top
R15,179.975,-185.47,0.0,top
R16,179.975,-187.98,0.0,top
R17,316.475,-111.04,0.0,top
R18,316.6,-107.64,180.0,top
R19,303.2,-110.14,180.0,top
R2,272.975,-80.94,0.0,top
R20,303.1,-113.04,180.0,top
R21,292.125,-124.89,180.0,top
R22,292.125,-119.69,180.0,top
R23,258.05,-55.69,180.0,top
R24,200.55,-114.2025,270.0,top
R25,206.375,-111.14,90.0,top
R26,185.175,-109.94,0.0,top
R27,184.975,-104.74,0.0,top
R28,183.175,-108.94,90.0,top
R29,183.175,-105.54,90.0,top
R3,272.8,-105.94,0.0,top
R30,189.975,-107.34,90.0,top
R31,193.775,-110.765,270.0,top
R32,210.5125,-70.25,270.0,top
R33,213.35,-70.29,270.0,top
R34,216.55,-71.715,90.0,top
R35,205.05,-70.19,270.0,top
R36,204.55,-58.69,270.0,top
R37,202.05,-64.365,270.0,top
R38,198.05,-65.69,0.0,top
R39,198.05,-61.69,0.0,top
R4,272.8,-102.94,0.0,top
R40,200.55,-70.515,270.0,top
R41,197.55,-70.515,270.0,top
R42,181.975,-154.94,180.0,top
R43,181.975,-157.93,180.0,top
R44,181.975,-160.94,180.0,top
R45,235.985,-65.0175,90.0,top
R46,296.595,-113.2125,270.0,top
R47,228.8,-185.765,270.0,top
R48,208.8,-185.94,270.0,top
R49,211.8,-185.94,270.0,top
R5,232.975,-104.94,180.0,top
R50,222.8,-185.765,90.0,top
R51,250.225,-200.565,0.0,top
R52,259.6,-202.74,90.0,top
R53,213.925,-57.39,180.0,top
R54,213.8375,-59.98,180.0,top
R55,197.0,-115.64,270.0,top
R56,196.8,-101.64,270.0,top
R57,301.3,-192.44,0.0,top
R58,226.325,-63.59,0.0,top
R59,221.025,-66.09,0.0,top
R6,233.075,-110.84,0.0,top
R60,226.35,-60.69,0.0,top
R61,221.05,-67.79,0.0,top
R62,254.8,-197.94,270.0,top
R63,269.425,-196.04,180.0,top
R64,269.425,-199.04,180.0,top
R65,242.85,-200.565,180.0,top
R66,246.45,-200.565,180.0,top
R67,197.1625,-183.205,0.0,top
R68,197.4375,-197.64,0.0,top
R7,232.975,-113.94,0.0,top
R8,232.975,-107.94,0.0,top
R9,274.8,-116.115,90.0,top
U1,254.6,-102.865,180.0,top
U10,195.1875,-107.14,180.0,top
U11,207.55,-64.69,180.0,top
U2,309.4,-108.94,180.0,top
U3,306.8,-121.94,270.0,top
U4,243.91,-63.47,180.0,top
U5,197.1625,-180.005,0.0,top
U6,197.4375,-194.44,0.0,top
U9,201.55,-107.2025,270.0,top
Y1,199.7,-98.1025,270.0,top
