Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100n,
C10,0603,1,100nF,06036C104KAT4A
C11,0603,1,18pF,251R14S180JV4T
C12,0402,1,1nF,0402N102F500CT
C13,0603,1,100n,
C14,0603,1,1u,
C2,0603,1,1u,
C3,0603,1,1u,
C4,0603,1,100n,
C5,1206,1,10uF,
C6,0603,1,10uF,
C7,0603,1,10uF,
C8,0603,1,18pF,251R14S180JV4T
C9,0603,1,100nF,06036C104KAT4A
D1,0805,1,LED,0805RBD0070S01
D10,0603,1,LED,0805RBD0070S01
D11,0603,1,LED,0805RBD0070S01
D2,SOT-323_SC-70,1,SM712_SOT23,ESDCAN03-2BWY
D3,0805,1,LED,0805RBD0070S01
D4,0805,1,LED,0805RBD0070S01
D5,SOT-23,1,BZX84B4V7LT1,BZX84B4V7LT1
"D6, D7",D_SMB,2,6.8V CA,
D8,0805,1,LED,0805RBD0070S01
D9,0805,1,LED,0805RBD0070S01
F2,1206,1,C1F 2,C1F 2
J1,PinSocket_1x03_P2.54mm_Horizontal,1,Conn_01x03_Pin,
J10,USB_B_Lumberg_2411_02_Horizontal,1,USB_B,
"J11, J17, J21, J6",TerminalBlock_Altech_AK300-2_P5.00mm,4,VIN,
J12,PinHeader_1x02_P2.54mm_Horizontal,1,Conn_01x02_Pin,
"J13, J14, J15, J16",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Pin,
"J18, J19, J20",PinHeader_1x04_P2.54mm_Horizontal,3,Conn_01x04_Pin,
J22,PinHeader_2x04_P2.54mm_Horizontal,1,Conn_02x04_Odd_Even,
J3,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
"J4, J5",JST_XH_S12B-XH-A-1_1x12_P2.50mm_Horizontal,2,Conn_01x12_Socket,
J7,618037231321,1,618037231321,
J8,PinHeader_1x18_P2.54mm_Vertical,1,Conn_01x18_Pin,
J9,PinHeader_1x19_P2.54mm_Vertical,1,Conn_01x19_Pin,
"JP1, JP2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,SolderJumper_2_Open,
Q1,SOT-23,1,WST3325,NTR3A30PZT1G
"Q2, Q3",SOT-23,2,MMBT3904,
R1,0603,1,0,
R10,0603,1,5k,
R11,0603,1,0,
R12,0603,1,0,
R13,0603,1,0,
R14,0603,1,0,
R15,0603,1,0,
R16,0603,1,0,
R17,0603,1,0,
R18,0603,1,0,
R19,0603,1,0,
R2,0603,1,0,
R20,0603,1,0,
R21,0603,1,1K,
R22,0603,1,1K,
R23,0603,1,100k,
R24,0603,1,10k,RMCF0603FT10K0CT-ND
R25,0603,1,10k,RMCF0603FT10K0CT-ND
R26,0402,1,0,RMCF0402ZT0R00
R27,0402,1,0,RMCF0402ZT0R00
R28,0603,1,2k8,RC0603FR-072K8L
R29,0603,1,2k8,RC0603FR-072K8L
R3,0603,1,0,
R30,0603,1,DNP,
R31,0603,1,0,
R32,0603,1,10k,
R33,0603,1,10k,
R34,0603,1,10k,
R35,0603,1,4k7,
R36,0603,1,4k7,
R37,0603,1,DNP,
R38,1206,1,10,
R39,1206,1,10,
R4,0603,1,0,
R40,0603,1,DNP,
R41,0603,1,DNP,
R42,0603,1,0,
R43,0603,1,0,
R44,0603,1,0,
R45,0603,1,2k,
R46,0603,1,1K,
R47,0603,1,0,
R48,0603,1,0,
R49,0603,1,0,
R5,0603,1,0,
R50,0603,1,0,
R51,0603,1,0,
R52,0603,1,10K,RC0603FR-072K8L
R53,0603,1,2K,
R54,0603,1,2K,
R55,0603,1,0,
R56,0603,1,0,
R58,0603,1,10k,
R59,0603,1,10k,
R6,0603,1,0,
R60,0603,1,1K,
R61,0603,1,1K,
R7,0603,1,0,
R8,0603,1,0,
R9,0603,1,0,
U1,MODULE_ESP32_DEVKIT_V1,1,ESP32-DEVKIT-V1,
U10,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,MCP2562-E-MF,MCP2562-E-MF
U11,SOIC127P600X175-8N,1,MAX13487EESAT,
U2,MSOP-10_3x3mm_P0.5mm,1,CH340E,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
U4,TO-252-2,1,NCP1117DT50RKG,
"U5, U6",SOT-23-6,2,SN74LVC1G3157DBVR,
U9,TSSOP-20_4.4x6.5mm_P0.65mm,1,MCP2515-xST,MCP2515-I/ST
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,16MHz,ABM8-16.000MHZ-D1X-T
