Designator,Mid X,Mid Y,Rotation,Layer
C1,170.8,-207.315,270.0,top
C10,193.2,-179.94,270.0,top
C13,207.835,-202.16,270.0,top
C14,217.435,-205.385,90.0,top
C15,227.05,-186.94,0.0,top
C16,215.357,-179.5,180.0,top
C17,215.357,-177.9,180.0,top
C2,169.09,-207.315,270.0,top
C3,180.825,-213.54,180.0,top
C4,182.0,-199.44,270.0,top
C5,186.2,-179.94,270.0,top
C6,179.525,-204.84,0.0,top
C7,219.235,-205.385,270.0,top
C8,184.0,-213.54,0.0,top
C9,184.4,-180.065,270.0,top
D11,179.6,-178.74,180.0,top
D12,226.4445,-183.75,0.0,top
D13,206.62,-222.14,270.0,top
D14,201.22,-225.94,270.0,top
D2,172.4,-195.69,270.0,top
D3,189.0575,-207.05,0.0,top
D4,189.025,-205.34,0.0,top
D5,192.22,-223.94,90.0,top
D6,207.035,-205.16,180.0,top
D7,175.2,-195.74,270.0,top
D8,194.9,-183.24,90.0,top
D9,180.09,-211.0775,90.0,top
IC1,213.512,-183.645,0.0,top
J2,236.57,-230.34,270.0,top
J4,165.4525,-202.115,270.0,top
J6,168.8,-183.04,90.0,top
J7,187.42,-230.14,270.0,top
R1,169.05,-202.69,180.0,top
R10,200.4,-221.94,90.0,top
R11,184.8,-226.355,90.0,top
R12,182.29,-226.355,90.0,top
R13,179.78,-226.355,90.0,top
R14,177.27,-226.355,90.0,top
R15,200.8,-187.74,270.0,top
R16,197.8,-187.74,270.0,top
R17,195.4,-195.74,90.0,top
R18,193.0,-195.74,90.0,top
R19,207.55,-226.74,90.0,top
R2,169.05,-201.44,180.0,top
R20,205.22,-226.715,90.0,top
R3,185.825,-207.04,0.0,top
R32,206.182,-181.675,180.0,top
R33,206.182,-185.275,180.0,top
R37,200.7,-213.265,90.0,top
R38,198.1,-213.265,90.0,top
R39,231.8,-223.74,90.0,top
R4,185.8,-205.34,0.0,top
R40,234.034868,-223.74,90.0,top
R41,236.0,-223.74,90.0,top
R42,238.0,-223.74,90.0,top
R43,240.0,-223.74,90.0,top
R44,242.0,-223.74,90.0,top
R46,180.09,-207.84,90.0,top
R47,244.0,-223.74,90.0,top
R5,194.9,-179.94,270.0,top
R6,202.2,-221.94,90.0,top
R63,222.207,-184.69,180.0,top
R64,222.207,-182.7,180.0,top
R7,207.5,-178.74,90.0,top
R8,218.382,-180.9,270.0,top
R9,218.382,-186.5,270.0,top
U1,172.05,-201.94,0.0,top
U11,212.725,-205.105,90.0,top
U12,241.2,-204.89,90.0,top
U2,177.7775,-202.115,270.0,top
U3,175.29,-210.29,90.0,top
U5,189.8,-179.99,90.0,top
U8,191.6425,-204.7075,270.0,top
